device cuda | backbone small_unet | k=16
φ 27.80M + encoder 0.33M + transport 6.8K
training episode combinations 900 | 50000 steps

step      1  L=3.2937  src=1.0986  tgt=1.0976  trans=1.0975  gain=+0.0001  |dz|=0.014  1.0 it/s
step     50  L=1.0772  src=0.3950  tgt=0.3399  trans=0.3422  gain=-0.0024  |dz|=0.016  5.9 it/s
step    100  L=0.5073  src=0.2004  tgt=0.1533  trans=0.1531  gain=+0.0001  |dz|=0.029  6.3 it/s
step    150  L=0.3242  src=0.1490  tgt=0.0869  trans=0.0876  gain=-0.0006  |dz|=0.033  6.4 it/s
step    200  L=0.2328  src=0.0903  tgt=0.0706  trans=0.0709  gain=-0.0004  |dz|=0.046  6.5 it/s
step    250  L=0.2166  src=0.0839  tgt=0.0660  trans=0.0658  gain=+0.0002  |dz|=0.038  6.5 it/s
step    300  L=0.3144  src=0.0988  tgt=0.1074  trans=0.1074  gain=+0.0000  |dz|=0.055  6.5 it/s
step    350  L=0.6284  src=0.1298  tgt=0.2505  trans=0.2475  gain=+0.0030  |dz|=0.160  6.6 it/s
step    400  L=0.4807  src=0.0845  tgt=0.1980  trans=0.1977  gain=+0.0002  |dz|=0.178  6.6 it/s
step    450  L=0.5860  src=0.0808  tgt=0.2533  trans=0.2514  gain=+0.0018  |dz|=0.130  6.6 it/s
step    500  L=0.2633  src=0.0887  tgt=0.0872  trans=0.0871  gain=+0.0002  |dz|=0.059  6.6 it/s
  [diagnostics @ 500] loss_correct=0.3693  loss_zero=0.4231  loss_shuffled=0.3693  loss_random=0.4236  loss_target_only=0.3675  loss_mean_z=0.3088  r_basis=0.1108  |dz_transport|=0.0247  z_s_vs_enc_rel=0.0738  z_spread_rel=0.0529  gain_vs_zero=0.0539  gain_vs_shuffled=0.0000  gain_vs_target_only=-0.0018  gain_vs_mean_z=-0.0605  delta_task=-0.0605  z_center_norm=1.5975  task_specific_frac=-1.1231
    ⚠ gain_vs_zero=0.0539 looks healthy but only -112.3% of it is task-specific: one shared mean coordinate does just as well, so the basis is a constant offset, not adaptation
step    550  L=0.1480  src=0.0682  tgt=0.0395  trans=0.0400  gain=-0.0005  |dz|=0.066  6.1 it/s
step    600  L=0.4119  src=0.1029  tgt=0.1543  trans=0.1544  gain=-0.0001  |dz|=0.168  6.2 it/s
step    650  L=0.4473  src=0.0665  tgt=0.1915  trans=0.1891  gain=+0.0023  |dz|=0.179  6.2 it/s
step    700  L=0.5698  src=0.0545  tgt=0.2577  trans=0.2574  gain=+0.0004  |dz|=0.140  6.2 it/s
step    750  L=0.3462  src=0.0761  tgt=0.1345  trans=0.1354  gain=-0.0009  |dz|=0.138  6.3 it/s
step    800  L=0.1748  src=0.0528  tgt=0.0607  trans=0.0610  gain=-0.0004  |dz|=0.076  6.3 it/s
step    850  L=0.1412  src=0.0746  tgt=0.0330  trans=0.0334  gain=-0.0004  |dz|=0.070  6.3 it/s
step    900  L=0.1971  src=0.0966  tgt=0.0502  trans=0.0501  gain=+0.0000  |dz|=0.078  6.3 it/s
step    950  L=0.1457  src=0.0526  tgt=0.0464  trans=0.0465  gain=-0.0001  |dz|=0.081  6.3 it/s
step   1000  L=0.1578  src=0.0905  tgt=0.0336  trans=0.0335  gain=+0.0001  |dz|=0.079  6.4 it/s
  [diagnostics @ 1000] loss_correct=0.1561  loss_zero=0.2309  loss_shuffled=0.1564  loss_random=0.2321  loss_target_only=0.1551  loss_mean_z=0.1567  r_basis=0.2052  |dz_transport|=0.0455  z_s_vs_enc_rel=0.0540  z_spread_rel=0.0539  gain_vs_zero=0.0747  gain_vs_shuffled=0.0003  gain_vs_target_only=-0.0010  gain_vs_mean_z=0.0006  delta_task=0.0006  z_center_norm=0.9135  task_specific_frac=0.0082
    ⚠ gain_vs_zero=0.0747 looks healthy but only 0.8% of it is task-specific: one shared mean coordinate does just as well, so the basis is a constant offset, not adaptation
step   1050  L=0.1645  src=0.0691  tgt=0.0475  trans=0.0477  gain=-0.0001  |dz|=0.085  6.1 it/s
step   1100  L=0.3925  src=0.1037  tgt=0.1448  trans=0.1438  gain=+0.0009  |dz|=0.163  6.2 it/s
step   1150  L=0.2243  src=0.1396  tgt=0.0423  trans=0.0423  gain=-0.0000  |dz|=0.106  6.2 it/s
step   1200  L=0.4116  src=0.0417  tgt=0.1852  trans=0.1847  gain=+0.0005  |dz|=0.181  6.2 it/s
step   1250  L=0.1450  src=0.0511  tgt=0.0469  trans=0.0469  gain=-0.0000  |dz|=0.093  6.2 it/s
step   1300  L=0.1059  src=0.0469  tgt=0.0295  trans=0.0294  gain=+0.0001  |dz|=0.123  6.2 it/s
step   1350  L=0.1627  src=0.1005  tgt=0.0310  trans=0.0311  gain=-0.0002  |dz|=0.100  6.3 it/s
step   1400  L=0.1344  src=0.0592  tgt=0.0375  trans=0.0375  gain=+0.0000  |dz|=0.103  6.3 it/s
step   1450  L=0.1536  src=0.0826  tgt=0.0355  trans=0.0354  gain=+0.0001  |dz|=0.135  6.3 it/s
step   1500  L=0.1407  src=0.0525  tgt=0.0440  trans=0.0441  gain=-0.0000  |dz|=0.108  6.3 it/s
  [diagnostics @ 1500] loss_correct=0.1242  loss_zero=0.2007  loss_shuffled=0.1246  loss_random=0.2038  loss_target_only=0.1236  loss_mean_z=0.1321  r_basis=0.2636  |dz_transport|=0.0774  z_s_vs_enc_rel=0.0483  z_spread_rel=0.0771  gain_vs_zero=0.0765  gain_vs_shuffled=0.0004  gain_vs_target_only=-0.0006  gain_vs_mean_z=0.0079  delta_task=0.0079  z_center_norm=0.7178  task_specific_frac=0.1026
    ⚠ z_S and z^enc_T are only 0.048 apart relatively -- the encoder is not separating the source set from the target set
step   1550  L=0.1550  src=0.0730  tgt=0.0410  trans=0.0409  gain=+0.0001  |dz|=0.150  6.1 it/s
step   1600  L=0.1003  src=0.0637  tgt=0.0182  trans=0.0183  gain=-0.0001  |dz|=0.111  6.2 it/s
step   1650  L=0.1747  src=0.0694  tgt=0.0527  trans=0.0526  gain=+0.0001  |dz|=0.149  6.2 it/s
step   1700  L=0.3855  src=0.0444  tgt=0.1704  trans=0.1706  gain=-0.0003  |dz|=0.210  6.2 it/s
step   1750  L=0.1486  src=0.0693  tgt=0.0396  trans=0.0396  gain=+0.0000  |dz|=0.104  6.2 it/s
step   1800  L=0.1509  src=0.0823  tgt=0.0342  trans=0.0343  gain=-0.0000  |dz|=0.106  6.2 it/s
step   1850  L=0.1405  src=0.0686  tgt=0.0359  trans=0.0359  gain=+0.0000  |dz|=0.109  6.2 it/s
step   1900  L=0.1455  src=0.0606  tgt=0.0425  trans=0.0424  gain=+0.0001  |dz|=0.113  6.2 it/s
step   1950  L=0.2742  src=0.0643  tgt=0.1049  trans=0.1049  gain=-0.0000  |dz|=0.218  6.2 it/s
step   2000  L=0.3385  src=0.0878  tgt=0.1255  trans=0.1251  gain=+0.0003  |dz|=0.220  6.3 it/s
  [diagnostics @ 2000] loss_correct=0.1183  loss_zero=0.1883  loss_shuffled=0.1187  loss_random=0.1916  loss_target_only=0.1180  loss_mean_z=0.1256  r_basis=0.2907  |dz_transport|=0.1130  z_s_vs_enc_rel=0.0613  z_spread_rel=0.1146  gain_vs_zero=0.0700  gain_vs_shuffled=0.0004  gain_vs_target_only=-0.0002  gain_vs_mean_z=0.0073  delta_task=0.0073  z_center_norm=0.5947  task_specific_frac=0.1048
  saved /opt/ml/code/checkpoints/ctr128_off_step2000.pt
step   2050  L=0.1008  src=0.0547  tgt=0.0230  trans=0.0230  gain=-0.0000  |dz|=0.115  6.1 it/s
step   2100  L=0.1863  src=0.0620  tgt=0.0621  trans=0.0622  gain=-0.0000  |dz|=0.111  6.1 it/s
step   2150  L=0.1565  src=0.0854  tgt=0.0354  trans=0.0356  gain=-0.0002  |dz|=0.110  6.2 it/s
step   2200  L=0.0769  src=0.0409  tgt=0.0181  trans=0.0179  gain=+0.0002  |dz|=0.156  6.2 it/s
step   2250  L=0.1128  src=0.0666  tgt=0.0231  trans=0.0231  gain=-0.0000  |dz|=0.114  6.2 it/s
step   2300  L=0.1608  src=0.0936  tgt=0.0336  trans=0.0336  gain=+0.0001  |dz|=0.113  6.2 it/s
step   2350  L=0.1180  src=0.0559  tgt=0.0312  trans=0.0310  gain=+0.0002  |dz|=0.110  6.2 it/s
step   2400  L=0.4279  src=0.0553  tgt=0.1864  trans=0.1861  gain=+0.0004  |dz|=0.221  6.2 it/s
step   2450  L=0.0881  src=0.0518  tgt=0.0180  trans=0.0183  gain=-0.0003  |dz|=0.173  6.2 it/s
step   2500  L=0.1352  src=0.0772  tgt=0.0290  trans=0.0290  gain=+0.0000  |dz|=0.172  6.2 it/s
