device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 6.8K
training episode combinations 900 | 50000 steps

step      1  L=3.5103  src=1.1671  tgt=1.1714  trans=1.1718  gain=-0.0005  |dz|=0.022  0.9 it/s
step     50  L=1.2305  src=0.4517  tgt=0.3894  trans=0.3894  gain=-0.0001  |dz|=0.024  4.0 it/s
step    100  L=0.5714  src=0.2069  tgt=0.1821  trans=0.1823  gain=-0.0002  |dz|=0.043  4.2 it/s
step    150  L=0.3655  src=0.1535  tgt=0.1058  trans=0.1061  gain=-0.0003  |dz|=0.083  4.3 it/s
step    200  L=0.3359  src=0.0819  tgt=0.1270  trans=0.1270  gain=-0.0000  |dz|=0.120  4.3 it/s
step    250  L=0.3122  src=0.0936  tgt=0.1092  trans=0.1093  gain=-0.0001  |dz|=0.325  4.3 it/s
step    300  L=0.2657  src=0.0923  tgt=0.0865  trans=0.0869  gain=-0.0004  |dz|=0.360  4.3 it/s
step    350  L=0.7105  src=0.0671  tgt=0.3223  trans=0.3211  gain=+0.0012  |dz|=1.275  4.3 it/s
step    400  L=0.4346  src=0.0890  tgt=0.1753  trans=0.1702  gain=+0.0051  |dz|=1.973  4.3 it/s
step    450  L=0.5217  src=0.1621  tgt=0.1795  trans=0.1800  gain=-0.0006  |dz|=2.537  4.3 it/s
step    500  L=0.0759  src=0.0249  tgt=0.0254  trans=0.0255  gain=-0.0001  |dz|=0.706  4.3 it/s
  [diagnostics @ 500] loss_correct=0.2870  loss_zero=0.2872  loss_shuffled=0.2870  loss_random=0.2872  loss_target_only=0.2870  loss_mean_z=0.2871  r_basis=0.0017  |dz_transport|=0.1139  z_s_vs_enc_rel=0.1582  z_spread_rel=0.1549  gain_vs_zero=0.0002  gain_vs_shuffled=-0.0000  gain_vs_target_only=0.0000  gain_vs_mean_z=0.0001  delta_task=0.0001  z_center_norm=0.1748  task_specific_frac=0.5914
    ⚠ shuffling coordinates across episodes changes little -- z does not track the task
step    550  L=0.2413  src=0.1198  tgt=0.0607  trans=0.0608  gain=-0.0000  |dz|=0.278  3.6 it/s
step    600  L=0.5360  src=0.1191  tgt=0.2096  trans=0.2073  gain=+0.0023  |dz|=3.143  3.7 it/s
step    650  L=0.3398  src=0.0980  tgt=0.1215  trans=0.1203  gain=+0.0012  |dz|=3.236  3.7 it/s
step    700  L=0.3531  src=0.0876  tgt=0.1336  trans=0.1319  gain=+0.0018  |dz|=3.256  3.8 it/s
step    750  L=0.5270  src=0.0605  tgt=0.2337  trans=0.2327  gain=+0.0010  |dz|=3.553  3.8 it/s
step    800  L=0.1072  src=0.0515  tgt=0.0276  trans=0.0281  gain=-0.0004  |dz|=0.178  3.8 it/s
step    850  L=0.1072  src=0.0610  tgt=0.0229  trans=0.0233  gain=-0.0004  |dz|=0.257  3.9 it/s
step    900  L=0.1603  src=0.0696  tgt=0.0459  trans=0.0448  gain=+0.0011  |dz|=1.638  3.9 it/s
step    950  L=0.1627  src=0.0714  tgt=0.0463  trans=0.0450  gain=+0.0013  |dz|=1.582  3.9 it/s
step   1000  L=0.1242  src=0.0543  tgt=0.0350  trans=0.0349  gain=+0.0001  |dz|=0.386  3.9 it/s
  [diagnostics @ 1000] loss_correct=0.1264  loss_zero=0.1268  loss_shuffled=0.1267  loss_random=0.1268  loss_target_only=0.1267  loss_mean_z=0.1267  r_basis=0.0042  |dz_transport|=0.3118  z_s_vs_enc_rel=0.5708  z_spread_rel=0.7630  gain_vs_zero=0.0004  gain_vs_shuffled=0.0003  gain_vs_target_only=0.0003  gain_vs_mean_z=0.0004  delta_task=0.0004  z_center_norm=0.1214  task_specific_frac=0.9164
step   1050  L=0.1327  src=0.0367  tgt=0.0481  trans=0.0479  gain=+0.0002  |dz|=0.244  3.6 it/s
step   1100  L=0.3165  src=0.0601  tgt=0.1282  trans=0.1281  gain=+0.0001  |dz|=2.307  3.6 it/s
step   1150  L=0.1894  src=0.1027  tgt=0.0433  trans=0.0433  gain=+0.0001  |dz|=1.843  3.7 it/s
step   1200  L=0.4349  src=0.0574  tgt=0.1884  trans=0.1889  gain=-0.0006  |dz|=2.627  3.7 it/s
step   1250  L=0.1648  src=0.0634  tgt=0.0507  trans=0.0506  gain=+0.0001  |dz|=0.422  3.7 it/s
step   1300  L=0.1443  src=0.0649  tgt=0.0402  trans=0.0392  gain=+0.0010  |dz|=2.228  3.7 it/s
