REPLAY a2_film: source checkpoint configuration, transport=linear
device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 0.4K
training episode combinations 900 | 50000 steps

step      1  L=3.2692  src=1.0837  tgt=1.0917  trans=1.0939  gain=-0.0022  |dz|=0.000  1.4 it/s
step     50  L=1.1576  src=0.4263  tgt=0.3660  trans=0.3652  gain=+0.0008  |dz|=0.005  7.3 it/s
step    100  L=0.5677  src=0.2045  tgt=0.1816  trans=0.1814  gain=+0.0002  |dz|=0.041  7.7 it/s
step    150  L=0.3568  src=0.1527  tgt=0.1020  trans=0.1019  gain=+0.0002  |dz|=0.098  7.8 it/s
step    200  L=0.3181  src=0.0771  tgt=0.1204  trans=0.1205  gain=-0.0001  |dz|=0.150  7.9 it/s
step    250  L=0.3036  src=0.0890  tgt=0.1073  trans=0.1073  gain=-0.0000  |dz|=0.145  8.0 it/s
step    300  L=0.2634  src=0.0913  tgt=0.0861  trans=0.0860  gain=+0.0002  |dz|=0.121  8.0 it/s
step    350  L=0.7293  src=0.0668  tgt=0.3313  trans=0.3313  gain=+0.0000  |dz|=0.203  8.0 it/s
step    400  L=0.4322  src=0.0880  tgt=0.1726  trans=0.1716  gain=+0.0010  |dz|=0.148  8.0 it/s
step    450  L=0.5143  src=0.1577  tgt=0.1783  trans=0.1783  gain=+0.0001  |dz|=0.191  8.0 it/s
step    500  L=0.0757  src=0.0252  tgt=0.0252  trans=0.0253  gain=-0.0002  |dz|=0.198  8.0 it/s
step    550  L=0.2188  src=0.1610  tgt=0.0288  trans=0.0290  gain=-0.0002  |dz|=0.248  8.0 it/s
step    600  L=0.5440  src=0.0875  tgt=0.2286  trans=0.2278  gain=+0.0008  |dz|=0.469  8.0 it/s
step    650  L=0.4009  src=0.0601  tgt=0.1710  trans=0.1698  gain=+0.0012  |dz|=0.535  8.0 it/s
step    700  L=0.3974  src=0.0556  tgt=0.1709  trans=0.1708  gain=+0.0001  |dz|=0.493  8.1 it/s
step    750  L=0.4168  src=0.0507  tgt=0.1835  trans=0.1826  gain=+0.0009  |dz|=0.537  8.1 it/s
step    800  L=0.2224  src=0.1015  tgt=0.0604  trans=0.0605  gain=-0.0001  |dz|=0.117  8.1 it/s
step    850  L=0.1301  src=0.0480  tgt=0.0412  trans=0.0409  gain=+0.0003  |dz|=0.140  8.1 it/s
step    900  L=0.1807  src=0.1044  tgt=0.0381  trans=0.0382  gain=-0.0001  |dz|=0.038  8.1 it/s
step    950  L=0.1215  src=0.0364  tgt=0.0426  trans=0.0424  gain=+0.0002  |dz|=0.072  8.1 it/s
step   1000  L=0.1137  src=0.0540  tgt=0.0298  trans=0.0299  gain=-0.0001  |dz|=0.093  8.1 it/s
step   1050  L=0.1295  src=0.0597  tgt=0.0349  trans=0.0350  gain=-0.0001  |dz|=0.066  8.1 it/s
step   1100  L=0.4303  src=0.0839  tgt=0.1743  trans=0.1721  gain=+0.0022  |dz|=0.533  8.1 it/s
step   1150  L=0.1560  src=0.0591  tgt=0.0487  trans=0.0483  gain=+0.0004  |dz|=0.082  8.1 it/s
step   1200  L=0.4249  src=0.0676  tgt=0.1785  trans=0.1789  gain=-0.0004  |dz|=0.545  8.1 it/s
step   1250  L=0.1098  src=0.0470  tgt=0.0315  trans=0.0314  gain=+0.0001  |dz|=0.044  8.1 it/s
step   1300  L=0.0889  src=0.0354  tgt=0.0266  trans=0.0269  gain=-0.0003  |dz|=0.147  8.1 it/s
step   1350  L=0.1234  src=0.0690  tgt=0.0271  trans=0.0273  gain=-0.0002  |dz|=0.049  8.1 it/s
step   1400  L=0.1173  src=0.0587  tgt=0.0293  trans=0.0293  gain=-0.0000  |dz|=0.064  8.1 it/s
step   1450  L=0.1314  src=0.0584  tgt=0.0365  trans=0.0365  gain=-0.0000  |dz|=0.204  8.1 it/s
step   1500  L=0.1059  src=0.0482  tgt=0.0288  trans=0.0289  gain=-0.0002  |dz|=0.157  8.1 it/s
step   1550  L=0.1881  src=0.0817  tgt=0.0531  trans=0.0533  gain=-0.0001  |dz|=0.199  8.1 it/s
step   1600  L=0.1562  src=0.0523  tgt=0.0518  trans=0.0521  gain=-0.0003  |dz|=0.093  8.1 it/s
step   1650  L=0.1757  src=0.0854  tgt=0.0453  trans=0.0450  gain=+0.0003  |dz|=0.228  8.1 it/s
step   1700  L=0.3277  src=0.0750  tgt=0.1266  trans=0.1261  gain=+0.0005  |dz|=0.493  8.1 it/s
step   1750  L=0.0969  src=0.0384  tgt=0.0292  trans=0.0293  gain=-0.0000  |dz|=0.126  8.1 it/s
step   1800  L=0.1623  src=0.0686  tgt=0.0468  trans=0.0468  gain=+0.0000  |dz|=0.122  8.1 it/s
step   1850  L=0.1500  src=0.0760  tgt=0.0371  trans=0.0370  gain=+0.0001  |dz|=0.139  8.1 it/s
step   1900  L=0.1731  src=0.0660  tgt=0.0533  trans=0.0537  gain=-0.0004  |dz|=0.165  8.1 it/s
step   1950  L=0.2947  src=0.0475  tgt=0.1239  trans=0.1233  gain=+0.0006  |dz|=0.540  8.1 it/s
step   2000  L=0.4355  src=0.0415  tgt=0.1970  trans=0.1968  gain=+0.0002  |dz|=0.567  8.1 it/s
