REPLAY cifar_ds3: source checkpoint configuration, transport=linear
device cuda | backbone small_unet | k=16
φ 27.80M + encoder 0.33M + transport 0.4K
training episode combinations 900 | 50000 steps

step      1  L=3.2945  src=1.0977  tgt=1.0984  trans=1.0983  gain=+0.0001  |dz|=0.000  1.4 it/s
step     50  L=1.0747  src=0.3940  tgt=0.3391  trans=0.3415  gain=-0.0024  |dz|=0.006  10.1 it/s
step    100  L=0.4979  src=0.1976  tgt=0.1499  trans=0.1499  gain=+0.0000  |dz|=0.035  10.7 it/s
step    150  L=0.3122  src=0.1444  tgt=0.0835  trans=0.0836  gain=-0.0001  |dz|=0.046  10.9 it/s
step    200  L=0.2504  src=0.0952  tgt=0.0774  trans=0.0769  gain=+0.0004  |dz|=0.049  11.0 it/s
step    250  L=0.2173  src=0.0855  tgt=0.0657  trans=0.0652  gain=+0.0005  |dz|=0.029  11.1 it/s
step    300  L=0.3038  src=0.0942  tgt=0.1042  trans=0.1046  gain=-0.0004  |dz|=0.023  11.1 it/s
step    350  L=0.6561  src=0.1452  tgt=0.2554  trans=0.2548  gain=+0.0006  |dz|=0.041  11.1 it/s
step    400  L=0.4745  src=0.0837  tgt=0.1953  trans=0.1951  gain=+0.0002  |dz|=0.061  11.1 it/s
step    450  L=0.5951  src=0.0804  tgt=0.2586  trans=0.2557  gain=+0.0029  |dz|=0.067  11.2 it/s
step    500  L=0.2730  src=0.0914  tgt=0.0906  trans=0.0907  gain=-0.0001  |dz|=0.027  11.3 it/s
step    550  L=0.1873  src=0.0998  tgt=0.0437  trans=0.0436  gain=+0.0001  |dz|=0.035  11.3 it/s
step    600  L=0.6145  src=0.1152  tgt=0.2514  trans=0.2476  gain=+0.0039  |dz|=0.108  11.3 it/s
step    650  L=0.4966  src=0.1234  tgt=0.1876  trans=0.1854  gain=+0.0022  |dz|=0.116  11.4 it/s
step    700  L=0.5194  src=0.0891  tgt=0.2149  trans=0.2152  gain=-0.0003  |dz|=0.115  11.4 it/s
step    750  L=0.3472  src=0.0633  tgt=0.1423  trans=0.1415  gain=+0.0008  |dz|=0.113  11.4 it/s
step    800  L=0.2226  src=0.1089  tgt=0.0567  trans=0.0568  gain=-0.0001  |dz|=0.048  11.4 it/s
step    850  L=0.1408  src=0.0727  tgt=0.0338  trans=0.0340  gain=-0.0002  |dz|=0.045  11.4 it/s
step    900  L=0.1974  src=0.1129  tgt=0.0419  trans=0.0425  gain=-0.0006  |dz|=0.048  11.5 it/s
step    950  L=0.1016  src=0.0527  tgt=0.0245  trans=0.0243  gain=+0.0002  |dz|=0.050  11.5 it/s
step   1000  L=0.1509  src=0.0748  tgt=0.0379  trans=0.0381  gain=-0.0002  |dz|=0.050  11.5 it/s
  [diagnostics @ 1000] loss_correct=0.1463  loss_zero=0.2156  loss_shuffled=0.1464  loss_random=0.2152  loss_target_only=0.1457  r_basis=0.1915  |dz_transport|=0.0233  z_s_vs_enc_rel=0.0370  z_spread_rel=0.0331  gain_vs_zero=0.0693  gain_vs_shuffled=0.0001  gain_vs_target_only=-0.0006
    ⚠ coordinate collapse: relative spacing of z across episodes is only 0.033 (threshold 0.05) -- the encoder emits a near-constant, so gain_vs_zero reflects the basis acting as shared capacity, not task specificity
    ⚠ z_S and z^enc_T are only 0.037 apart relatively -- the encoder is not separating the source set from the target set
step   1050  L=0.1236  src=0.0507  tgt=0.0363  trans=0.0364  gain=-0.0001  |dz|=0.050  11.5 it/s
step   1100  L=0.4776  src=0.0770  tgt=0.2000  trans=0.2004  gain=-0.0004  |dz|=0.079  11.5 it/s
step   1150  L=0.1586  src=0.0831  tgt=0.0376  trans=0.0377  gain=-0.0001  |dz|=0.055  11.5 it/s
step   1200  L=0.4210  src=0.0775  tgt=0.1719  trans=0.1716  gain=+0.0003  |dz|=0.081  11.5 it/s
step   1250  L=0.1519  src=0.0528  tgt=0.0495  trans=0.0494  gain=+0.0001  |dz|=0.050  11.5 it/s
step   1300  L=0.1213  src=0.0544  tgt=0.0334  trans=0.0334  gain=+0.0000  |dz|=0.058  11.5 it/s
step   1350  L=0.1047  src=0.0492  tgt=0.0277  trans=0.0277  gain=+0.0001  |dz|=0.056  11.5 it/s
step   1400  L=0.0818  src=0.0320  tgt=0.0249  trans=0.0249  gain=-0.0000  |dz|=0.059  11.5 it/s
step   1450  L=0.0998  src=0.0525  tgt=0.0236  trans=0.0236  gain=-0.0000  |dz|=0.066  11.3 it/s
step   1500  L=0.0994  src=0.0450  tgt=0.0272  trans=0.0271  gain=+0.0000  |dz|=0.058  11.2 it/s
step   1550  L=0.1178  src=0.0574  tgt=0.0302  trans=0.0302  gain=+0.0000  |dz|=0.071  11.0 it/s
step   1600  L=0.1592  src=0.1115  tgt=0.0238  trans=0.0238  gain=-0.0000  |dz|=0.063  10.8 it/s
step   1650  L=0.1724  src=0.0594  tgt=0.0565  trans=0.0565  gain=+0.0000  |dz|=0.072  10.6 it/s
step   1700  L=0.2996  src=0.0565  tgt=0.1213  trans=0.1217  gain=-0.0004  |dz|=0.085  10.3 it/s
step   1750  L=0.0874  src=0.0443  tgt=0.0215  trans=0.0215  gain=-0.0000  |dz|=0.063  10.1 it/s
step   1800  L=0.1735  src=0.0499  tgt=0.0617  trans=0.0618  gain=-0.0000  |dz|=0.067  10.0 it/s
step   1850  L=0.1148  src=0.0559  tgt=0.0294  trans=0.0294  gain=-0.0000  |dz|=0.065  9.8 it/s
step   1900  L=0.2164  src=0.1011  tgt=0.0576  trans=0.0577  gain=-0.0001  |dz|=0.066  9.6 it/s
step   1950  L=0.4347  src=0.0668  tgt=0.1839  trans=0.1839  gain=-0.0001  |dz|=0.081  9.5 it/s
step   2000  L=0.3542  src=0.0491  tgt=0.1526  trans=0.1525  gain=+0.0001  |dz|=0.079  9.3 it/s
  [diagnostics @ 2000] loss_correct=0.1040  loss_zero=0.1711  loss_shuffled=0.1045  loss_random=0.1721  loss_target_only=0.1038  r_basis=0.2788  |dz_transport|=0.0551  z_s_vs_enc_rel=0.0533  z_spread_rel=0.0545  gain_vs_zero=0.0671  gain_vs_shuffled=0.0005  gain_vs_target_only=-0.0002
step   2050  L=0.1258  src=0.0662  tgt=0.0298  trans=0.0297  gain=+0.0001  |dz|=0.066  9.2 it/s
step   2100  L=0.1522  src=0.0690  tgt=0.0416  trans=0.0415  gain=+0.0000  |dz|=0.066  9.1 it/s
step   2150  L=0.1600  src=0.0863  tgt=0.0369  trans=0.0368  gain=+0.0001  |dz|=0.066  9.0 it/s
step   2200  L=0.0917  src=0.0501  tgt=0.0208  trans=0.0208  gain=+0.0001  |dz|=0.088  8.9 it/s
step   2250  L=0.1775  src=0.0703  tgt=0.0536  trans=0.0536  gain=+0.0000  |dz|=0.067  8.8 it/s
step   2300  L=0.1361  src=0.0838  tgt=0.0261  trans=0.0262  gain=-0.0001  |dz|=0.066  8.7 it/s
step   2350  L=0.1268  src=0.0458  tgt=0.0405  trans=0.0405  gain=-0.0001  |dz|=0.068  8.6 it/s
step   2400  L=0.5339  src=0.0347  tgt=0.2495  trans=0.2496  gain=-0.0001  |dz|=0.083  8.5 it/s
step   2450  L=0.1322  src=0.0696  tgt=0.0313  trans=0.0313  gain=+0.0001  |dz|=0.092  8.5 it/s
step   2500  L=0.0980  src=0.0472  tgt=0.0254  trans=0.0253  gain=+0.0001  |dz|=0.094  8.4 it/s
step   2550  L=0.0742  src=0.0424  tgt=0.0159  trans=0.0158  gain=+0.0001  |dz|=0.096  8.3 it/s
