REPLAY cifar_train50_film_k16: source checkpoint configuration, transport=linear
device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 0.4K
training episode combinations 450 | 50000 steps

step      1  L=3.2691  src=1.0839  tgt=1.0919  trans=1.0932  gain=-0.0013  |dz|=0.000  1.4 it/s
step     50  L=1.1463  src=0.4205  tgt=0.3633  trans=0.3625  gain=+0.0009  |dz|=0.005  7.4 it/s
step    100  L=0.5662  src=0.1912  tgt=0.1875  trans=0.1873  gain=+0.0001  |dz|=0.044  7.7 it/s
step    150  L=0.3245  src=0.1528  tgt=0.0856  trans=0.0859  gain=-0.0003  |dz|=0.103  7.9 it/s
step    200  L=0.3571  src=0.1031  tgt=0.1268  trans=0.1271  gain=-0.0002  |dz|=0.148  7.9 it/s
step    250  L=0.3359  src=0.1031  tgt=0.1163  trans=0.1164  gain=-0.0001  |dz|=0.172  7.9 it/s
step    300  L=0.2593  src=0.1017  tgt=0.0787  trans=0.0789  gain=-0.0001  |dz|=0.132  8.0 it/s
step    350  L=0.7421  src=0.0664  tgt=0.3378  trans=0.3378  gain=-0.0001  |dz|=0.155  8.0 it/s
step    400  L=0.4145  src=0.0741  tgt=0.1704  trans=0.1700  gain=+0.0004  |dz|=0.182  8.0 it/s
step    450  L=0.4896  src=0.1231  tgt=0.1833  trans=0.1832  gain=+0.0001  |dz|=0.260  8.0 it/s
step    500  L=0.0856  src=0.0283  tgt=0.0287  trans=0.0285  gain=+0.0002  |dz|=0.204  8.0 it/s
step    550  L=0.1881  src=0.1384  tgt=0.0248  trans=0.0249  gain=-0.0001  |dz|=0.238  8.0 it/s
step    600  L=0.5651  src=0.0831  tgt=0.2416  trans=0.2404  gain=+0.0013  |dz|=0.433  8.1 it/s
step    650  L=0.4070  src=0.0610  tgt=0.1742  trans=0.1717  gain=+0.0025  |dz|=0.584  8.1 it/s
step    700  L=0.4092  src=0.0580  tgt=0.1756  trans=0.1755  gain=+0.0002  |dz|=0.632  8.1 it/s
step    750  L=0.4471  src=0.0564  tgt=0.1954  trans=0.1953  gain=+0.0002  |dz|=0.611  8.1 it/s
step    800  L=0.2677  src=0.1247  tgt=0.0718  trans=0.0713  gain=+0.0005  |dz|=0.143  8.1 it/s
step    850  L=0.2239  src=0.0767  tgt=0.0738  trans=0.0734  gain=+0.0003  |dz|=0.128  8.1 it/s
step    900  L=0.1795  src=0.1084  tgt=0.0355  trans=0.0356  gain=-0.0001  |dz|=0.039  8.1 it/s
step    950  L=0.1375  src=0.0474  tgt=0.0451  trans=0.0451  gain=-0.0000  |dz|=0.043  8.1 it/s
step   1000  L=0.1320  src=0.0666  tgt=0.0327  trans=0.0327  gain=-0.0000  |dz|=0.046  8.1 it/s
step   1050  L=0.1429  src=0.0639  tgt=0.0394  trans=0.0396  gain=-0.0001  |dz|=0.047  8.1 it/s
step   1100  L=0.4747  src=0.1098  tgt=0.1837  trans=0.1812  gain=+0.0025  |dz|=0.547  8.1 it/s
step   1150  L=0.1710  src=0.0546  tgt=0.0582  trans=0.0582  gain=+0.0000  |dz|=0.097  8.1 it/s
step   1200  L=0.4914  src=0.1112  tgt=0.1900  trans=0.1902  gain=-0.0002  |dz|=0.506  8.1 it/s
step   1250  L=0.1099  src=0.0473  tgt=0.0313  trans=0.0312  gain=+0.0001  |dz|=0.063  8.1 it/s
step   1300  L=0.1061  src=0.0469  tgt=0.0297  trans=0.0295  gain=+0.0003  |dz|=0.117  8.1 it/s
step   1350  L=0.1281  src=0.0713  tgt=0.0287  trans=0.0281  gain=+0.0005  |dz|=0.066  8.1 it/s
step   1400  L=0.1188  src=0.0591  tgt=0.0298  trans=0.0298  gain=-0.0000  |dz|=0.063  8.1 it/s
step   1450  L=0.1103  src=0.0442  tgt=0.0330  trans=0.0331  gain=-0.0001  |dz|=0.128  8.1 it/s
step   1500  L=0.1352  src=0.0620  tgt=0.0366  trans=0.0365  gain=+0.0001  |dz|=0.088  8.1 it/s
step   1550  L=0.1855  src=0.0794  tgt=0.0535  trans=0.0526  gain=+0.0010  |dz|=0.142  8.1 it/s
step   1600  L=0.1558  src=0.0522  tgt=0.0518  trans=0.0518  gain=-0.0000  |dz|=0.095  8.1 it/s
step   1650  L=0.1195  src=0.0496  tgt=0.0351  trans=0.0348  gain=+0.0003  |dz|=0.222  8.1 it/s
step   1700  L=0.3862  src=0.1083  tgt=0.1388  trans=0.1391  gain=-0.0003  |dz|=0.537  8.1 it/s
step   1750  L=0.1062  src=0.0426  tgt=0.0318  trans=0.0319  gain=-0.0001  |dz|=0.170  8.1 it/s
step   1800  L=0.1083  src=0.0479  tgt=0.0302  trans=0.0302  gain=-0.0000  |dz|=0.137  8.1 it/s
step   1850  L=0.1578  src=0.0766  tgt=0.0407  trans=0.0406  gain=+0.0001  |dz|=0.169  8.1 it/s
step   1900  L=0.1717  src=0.0703  tgt=0.0507  trans=0.0506  gain=+0.0001  |dz|=0.174  8.1 it/s
step   1950  L=0.2701  src=0.0452  tgt=0.1125  trans=0.1123  gain=+0.0002  |dz|=0.509  8.1 it/s
step   2000  L=0.4343  src=0.0413  tgt=0.1966  trans=0.1963  gain=+0.0004  |dz|=0.594  8.1 it/s
  [diagnostics @ 2000] loss_correct=0.0796  loss_zero=0.0804  loss_shuffled=0.0803  loss_random=0.0804  loss_target_only=0.0801  loss_mean_z=0.0804  r_basis=0.0077  |dz_transport|=0.1560  z_s_vs_enc_rel=0.5644  z_spread_rel=1.0863  gain_vs_zero=0.0008  gain_vs_shuffled=0.0007  gain_vs_target_only=0.0005  gain_vs_mean_z=0.0008  delta_task=0.0008  z_center_norm=0.0609  task_specific_frac=0.9545
step   2050  L=0.1605  src=0.0655  tgt=0.0475  trans=0.0475  gain=-0.0001  |dz|=0.209  7.7 it/s
